# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=20, N=28, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

r(fm),Rp1,Rp2,Rp3,Rp4,Rp5,Rp6,Rp7,Rp8,Rp9,Rp10,Rn1,Rn2,Rn3,Rn4,Rn5,Rn6,Rn7,Rn8,Rn9,Rn10,Rl1,Rl2,Rl3,Rl4,Rl5,Rl6
0.5,0.18244642786187892,0.039577678698710476,0.04328921339584804,0.006844541059009473,0.008142315876904884,0.29407094145376406,0.00105582944499757,0.08077047607935157,0.0012459790988063782,0.07396008999381702,0.21699777033984716,0.048063311577007224,0.052465906819445136,0.008074720789200927,0.29692112930625064,0.010048094061172262,0.0011775452591492016,0.08090718047517625,0.07158535367889088,0.001476646175776812,0.20994472996286812,0.042622462065354375,0.042622462065354375,0.006650582209757975,0.006650582209757975,0.25300593394403426
0.55,0.20066444195382957,0.04777053737270143,0.05230017490100044,0.009076559569734226,0.010807387853682316,0.32033059298373845,0.0015389220997732945,0.09685189257808759,0.0018177125059621116,0.08879477861856223,0.2382519174882056,0.057924465149866954,0.06331354711187095,0.010694101015384054,0.3227356994241094,0.013323977557411772,0.0017145082853721727,0.09690165327710255,0.08585714771345158,0.002152496735140138,0.22997755195450106,0.05134070734896854,0.05134070734896854,0.008809796773701105,0.008809796773701105,0.2748273337562839
0.6000000000000001,0.21885166154233102,0.05669306134274872,0.06213092806442952,0.011735807513007478,0.013986928707113981,0.345674759801409,0.0021688175982384544,0.1141140398574024,0.0025640898085739026,0.10475819940724337,0.25935570271589187,0.06862985630687016,0.0751192434487494,0.013807939413687947,0.34744266325585244,0.01722557082918696,0.002413504663144986,0.11402661328876228,0.10118075790758045,0.0030336778671934592,0.24973973618214598,0.06079755403499403,0.06079755403499403,0.011377758548413544,0.011377758548413544,0.2956862173025144
0.65,0.23699510883303876,0.06632959830887171,0.0727673672345981,0.014854132500491554,0.017720431776200356,0.37001437131694787,0.0029711185718590072,0.1324614471825226,0.0035158846702374232,0.12176959911272427,0.28028548466516967,0.08015230758488923,0.08785857599739301,0.01745061436228541,0.37094280857928713,0.021798395760240893,0.0033022661476103297,0.1321773708708975,0.1174703278022462,0.004155823828224646,0.26920841366967224,0.07096844140631152,0.07096844140631152,0.014383464633637712,0.014383464633637712,0.3155091626904379
0.7000000000000001,0.2550793963971091,0.07666241254876609,0.0841926922589654,0.018461450681571213,0.022045063935878483,0.3932597619938397,0.0039728284869001975,0.15179069177171509,0.004705587402324159,0.13974012542415798,0.3010153473190841,0.09246180496050099,0.10150342985635684,0.02165375141610749,0.3931381292502994,0.02708454714006307,0.00440986757477928,0.15124137005062965,0.13463197262903506,0.005556355177487224,0.2883610975496325,0.08182686078178049,0.08182686078178049,0.017853837596008636,0.017853837596008636,0.33422628181773517
0.75,0.2730866458342435,0.08767155406368074,0.09638711406014812,0.022585553556202412,0.026995319609985042,0.41532100447109266,0.00520214469055229,0.17199063122238217,0.006167121079101083,0.15857276125274128,0.3215170606761186,0.10552543139621363,0.11602169489841167,0.026446005879992567,0.4139322570814252,0.03312224719467608,0.005766474829566838,0.17109859641160047,0.15256382396546062,0.007274105933024547,0.30717569501023195,0.09334439919723986,0.09334439919723986,0.02181357562322802,0.02181357562322802,0.351771467522261
0.8,0.29099644266632557,0.09933473822444115,0.10932757013224745,0.027251914071317357,0.03260265427847682,0.43610832742985756,0.006688236367019142,0.19294270835232943,0.007935522432887159,0.17816233518747795,0.34176008305027206,0.11930731608646715,0.13137698306920623,0.031852853539143806,0.43323096353016155,0.0399453816718155,0.007403079431498287,0.19162205330299525,0.17115615156814973,0.009348909031261496,0.3256305189365195,0.10549078707555902,0.10549078707555902,0.026285008779032733,0.026285008779032733,0.36808263361985344
0.8500000000000001,0.30878583176085206,0.11162724085863288,0.12298745915649899,0.03248349451894476,0.038895102602510064,0.4555326192792855,0.008461008585858309,0.21452133760833367,0.010046587538583857,0.1983956250399176,0.3617116088296035,0.13376860396834117,0.14752837397497726,0.037896391996862476,0.4509427305472526,0.04758302424181519,0.009351221636490284,0.21267831185620517,0.19029157738141897,0.011821140743317027,0.3437043003996576,0.11823395062710709,0.11823395062710709,0.031287962265334236,0.031287962265334236,0.38310194786983665
0.9,0.32642935722488664,0.12452181386175266,0.13733640460247545,0.038300559190345876,0.045896887808319374,0.47350601643698126,0.01055085396364274,0.23659438120884002,0.012536483381882431,0.2191515709522952,0.3813366649660521,0.1488674500698776,0.16443020021325092,0.04459515532482423,0.4669793877504877,0.05605895775628614,0.011642704166578883,0.23412813938774066,0.20984539618456866,0.014731226002776179,0.36137620314840524,0.13154006987841116,0.13154006987841116,0.036839627751411454,0.036839627751411454,0.3967760576120111
0.9500000000000001,0.3438991501117023,0.13798862639741774,0.15234005758804015,0.044720495123535306,0.05362803045919868,0.48994257233363203,0.012988393813811894,0.259023721707404,0.015441327669228615,0.2403016133555314,0.4005982586798296,0.16455904312023853,0.18203188420141858,0.051963944932942215,0.4812568106498697,0.06539120263083421,0.014309298882911728,0.255827209495346,0.22968601612706938,0.018119108101179077,0.37862584118168235,0.14537364333549863,0.14537364333549863,0.042954443983077774,0.042954443983077774,0.4090563074235344
