# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=20, N=20, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

r(fm),Rp1,Rp2,Rp3,Rp4,Rp5,Rp6,Rp7,Rn1,Rn2,Rn3,Rn4,Rn5,Rn6,Rn7,Rn8,Rn9,Rn10,Rl1,Rl2,Rl3,Rl4,Rl5,Rl6
0.5,0.20274030709394153,0.04500911380969335,0.0476898622786333,0.007889713738355968,0.29620929405127516,0.008744440319633041,0.0012180285863417236,0.2081354150884405,0.04674084051646012,0.049251344480290525,0.00827401729734109,0.30463264685415914,0.009170085878827085,0.0012952984219064087,0.0833108976799664,0.07143304489568046,0.0013149423555347105,0.2260745923593555,0.04647735642272621,0.04647735642272621,0.00704121303931836,0.00704121303931836,0.23149930753284864
0.55,0.2228118525739128,0.05428780780250572,0.05758681796984986,0.010455847944078493,0.322334372333966,0.011602413258486783,0.0017743069358245656,0.2286862715649012,0.05636010735220715,0.05946256420733381,0.010961698548992885,0.3313299322242093,0.012165062353816638,0.0018862399215696104,0.09979420914270287,0.0857104780298304,0.0019176315749517634,0.24749959813995095,0.05595769811537636,0.05595769811537636,0.009324043268713049,0.009324043268713049,0.25130330401146256
0.6000000000000001,0.24279599699625884,0.06437691955481814,0.06837124534893203,0.013509601471992023,0.34744289340001605,0.015009746792922636,0.002498950894269231,0.2491318535364476,0.06681313317905054,0.07058541956543807,0.01415835669062216,0.3569363113956818,0.01573461604395928,0.0026556428076635434,0.11744521869033224,0.10105244172748226,0.002703941829895641,0.26859275638400804,0.06623073390931915,0.06623073390931915,0.012037362587221295,0.012037362587221295,0.2701833949770844
0.65,0.26267221185025336,0.07525424049825272,0.08002375552453364,0.01708592134125081,0.3714366767959169,0.019007613878543328,0.003420984992242703,0.2694497618378556,0.07807530066910508,0.08259878571484139,0.017899836509011925,0.3813482206831004,0.019921367510042084,0.0036340861362178364,0.13615526451517415,0.11737502808062203,0.003705970801626732,0.28932648339094924,0.07726708580734974,0.07726708580734974,0.015211079605462967,0.015211079605462967,0.28806991208294325
0.7000000000000001,0.2824172069266035,0.0868948167115226,0.09252157732216502,0.021217198797439836,0.39421737727780515,0.02363441749649134,0.00457089455777803,0.2896148064248818,0.09011907538503995,0.09547794825210387,0.022219181009438448,0.4044623375460557,0.024764925806323265,0.004853624335756517,0.1558070397802884,0.13458602034375988,0.004957499371613185,0.3096737945568212,0.08903510676075364,0.08903510676075364,0.01887277091248933,0.01887277091248933,0.3048967781048476
0.75,0.3020049192161277,0.09927083148421682,0.10583825190128066,0.025933032325899386,0.4156869829224441,0.028925397790759633,0.0059803637794077795,0.3095990060222925,0.10291390114222213,0.10919429216772664,0.02714638502411375,0.4261761269426872,0.030301469952996665,0.006347500331247218,0.1762749854269147,0.15258489811922873,0.006493667984414269,0.32960833095495634,0.10150094816965842,0.10150094816965842,0.02304751824599201,0.02304751824599201,0.32060175293178833
0.8,0.3214065540744433,0.11235151048619983,0.11994335129790522,0.03125999567115091,0.4357484088263144,0.03491222224151768,0.0076819969010684715,0.3293716423862293,0.11642611991129806,0.12371501735963453,0.03270815644742614,0.44638848401379605,0.036563313851018915,0.008149841753829845,0.19742577774517564,0.17126293777881502,0.008350615312234804,0.34910438432890256,0.11462863282603594,0.11462863282603594,0.027757753717037714,0.027757753717037714,0.3351266699015092
0.8500000000000001,0.3405906814941846,0.12610305537725386,0.13480223178253284,0.03722141464992095,0.45430618241400555,0.04162256582246342,0.009709024625664149,0.34889937187498477,0.13061892210448633,0.13900289212814537,0.03892768900102864,0.4650004682762749,0.043578462203687995,0.010295342672410831,0.21911891814253776,0.19050342441625473,0.010565080102094643,0.3681369215600623,0.12838013388873695,0.12838013388873695,0.03302311408423968,0.03302311408423968,0.34841766228683424
0.9,0.35952338950355717,0.14048861142538585,0.1503758331677275,0.043837156911417464,0.4712672135543001,0.049079689633199475,0.01209499822408947,0.3681463961300971,0.14545233276406735,0.1550160562791282,0.045824450753408706,0.4819161215662833,0.05137016663001706,0.012818933688892937,0.24120743055798005,0.2101819902331633,0.013173968366562813,0.3866816097193735,0.1427154606389803,0.1427154606389803,0.03886030520863198,0.03886030520863198,0.36042537955020404
0.9500000000000001,0.37816849565538774,0.15546827422837992,0.16662053510446956,0.05112343904876844,0.4865416396796888,0.0573020279284875,0.014873474252364342,0.38707469254749066,0.16088323863649737,0.1717078853022272,0.05341399281837241,0.49704335887906076,0.05995649264610347,0.015755443620821357,0.2635386695213058,0.23016709212184613,0.016213889513259232,0.4047148427839376,0.1575927518818017,0.1575927518818017,0.04528297795801148,0.04528297795801148,0.371105192709131
1.0,0.39648781628148433,0.17099913993276214,0.18348808090042934,0.059092655572627405,0.5000437330077186,0.06630279469550879,0.018077693149655134,0.4056443038664562,0.1768654603540643,0.18902692649945077,0.061707782709605474,0.5102949180945733,0.06934990945764336,0.019139256332554307,0.28595523897676267,0.25032063827880535,0.019720666548088163,0.42221377098901985,0.17296837791799607,0.17296837791799607,0.05230161695527848,0.05230161695527848,0.38041738780543316
1.05,0.41444149167815475,0.18703540240667316,0.20092557841705458,0.06775323419678246,0.5116928538873106,0.07608962186047015,0.021740255301198757,0.4238136846408453,0.1933498729504862,0.2069169168569029,0.07071306671153982,0.5215893514781903,0.07955691544706305,0.023003966546747315,0.3082960187351147,0.27049876995733046,0.023728827066826566,0.4391563335927421,0.1887970519968501,0.1887970519968501,0.05992344366434917,0.05992344366434917,0.3883273460673352
1.1,0.43198836369630106,0.2035284996497237,0.21887558611494212,0.07710952163561913,0.5214144313866608,0.08666424173794543,0.025892798378965867,0.441540100621163,0.21028457671207312,0.22531689084029904,0.0804327653225128,0.530852038953662,0.09057771274911075,0.027382038650257963,0.33039729187683897,0.29055279999113354,0.028271083287959055,0.4555212955618142,0.20503195206087255,0.20503195206087255,0.06815233536361268,0.06815233536361268,0.39480570892658445
1.1500000000000001,0.4490864003924666,0.2204273103309624,0.237276290305789,0.08716170366118033,0.5291409496723686,0.09802222637792948,0.030565679896932,0.45878007522986475,0.22761511893234734,0.24416138414384733,0.0908654053244693,0.5380162006346267,0.10240594429378355,0.032304472582556525,0.35209396272293225,0.31033030459782096,0.03337781078272712,0.4712882883564648,0.22162485340412544,0.22162485340412544,0.07698876155540581,0.07698876155540581,0.39982852564138377
