# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=40, N=50, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

r(fm),Rp1,Rp2,Rp3,Rp4,Rp5,Rp6,Rp7,Rp8,Rp9,Rp10,Rp11,Rn1,Rn2,Rn3,Rn4,Rn5,Rn6,Rn7,Rn8,Rn9,Rn10,Rn11,Rn12,Rn13,Rn14,Rn15,Rn16,Rl1,Rl2,Rl3,Rl4,Rl5,Rl6,Rl7,Rl8,Rl9,Rl10
0.5,0.15535860113312946,0.02625146190248852,0.030543261127289698,0.0038853139315037635,0.005024014367084671,0.2819380367574015,0.000520695181363403,0.000740045029395943,0.06258355735122298,6.503315942708006e-5,0.06629448597763447,0.1713394177483749,0.030418932598610428,0.034022511036004996,0.00462516158048309,0.0057394175990979086,0.29033643679393184,0.0006197240032488018,0.0008658831983717865,0.06469881308890447,0.06838648155515431,7.599559420575882e-5,0.011254246718043634,0.00011447936417459532,0.31072635081530076,0.011183730546063439,8.729199079525025e-6,0.16134438640569443,0.029234256477515735,0.029234256477515735,0.004357813701546907,0.004357813701546907,0.25131757290137074,0.0005474117418780958,0.0005474117418780958,0.04586260501934564,0.04586260501934564
0.55,0.1701017005893417,0.03164315911740756,0.03675497510486686,0.005152396032696296,0.0066482837709731955,0.30644777930528444,0.0007595213321032387,0.0010768429264289695,0.07504113236957745,0.0001043356889851253,0.07935068176612786,0.18751485003892035,0.036655997571112445,0.040928021923574295,0.006132175085948904,0.007592970197109414,0.315288023318038,0.0009038301928171608,0.0012596644234810876,0.07755150548521328,0.08180987152645838,0.00012191225535280747,0.014860307541916033,0.00018314107845917947,0.3343699506763234,0.01473519014682449,1.5402456952036867e-5,0.1770002444137542,0.035255097382220636,0.035255097382220636,0.005778227898306702,0.005778227898306702,0.2738008650303302,0.0007981677135197784,0.0007981677135197784,0.05506364471669231,0.05506364471669231
0.6000000000000001,0.18464142569062844,0.03750309397042135,0.04348380233672992,0.006662629748812412,0.008577450852827235,0.3299760977041859,0.0010713657105427354,0.0015150090904009186,0.08842470162617563,0.00016053110951806782,0.09332591780242386,0.20344269810094356,0.043430045381395846,0.04840308959075938,0.007927552191620753,0.00979343781750139,0.33915040419619474,0.0012746804974151213,0.001771779437422995,0.09134786501084383,0.09616018670790075,0.0001875516321571799,0.01912500201842996,0.00028092167404137355,0.35605086467743663,0.0189203067687224,2.5846885411092188e-5,0.19252018565123888,0.04180285452939655,0.04180285452939655,0.007470560198123108,0.007470560198123108,0.2955473810395306,0.0011253571732654862,0.0011253571732654862,0.0649734988139707,0.0649734988139707
0.65,0.19896861107283562,0.04382043326360179,0.05071254977744885,0.008434750966599078,0.010832772495664339,0.35246290877907493,0.0014692305069813878,0.002071889297991373,0.10266964533857681,0.00023845344030858412,0.10814220939754356,0.2191111340147266,0.05072710927935895,0.0564273519731229,0.010033116986603035,0.012364630309641871,0.36185644185925114,0.0017476440538904436,0.00242238695474747,0.10601771822814306,0.11135296050449084,0.00027854572662260957,0.024086367011331423,0.0004159322869575423,0.375657838357081,0.02377086558494029,4.1580879974213795e-5,0.2078921855972701,0.04886516829327124,0.04886516829327124,0.009455348708288394,0.009455348708288394,0.31649891104913075,0.0015424605785778988,0.0015424605785778988,0.07554855057564218,0.07554855057564218
0.7000000000000001,0.21307587808254944,0.05058394440002066,0.05842365875134479,0.010486724549987655,0.013434162234863985,0.3738539983814416,0.0019669576833978414,0.0027657415077014637,0.11770812987362811,0.00034372613198721335,0.12371867424265312,0.23451042000483371,0.05853259074160236,0.06498001221167793,0.012469647858632013,0.015328749089724779,0.38334558365380705,0.0023390437766407607,0.003232673439399922,0.1214872142859032,0.127300630845675,0.0004014382143034624,0.029777275068218763,0.0005975191271194367,0.39309411156520474,0.029313071809484587,6.452663758518846e-5,0.22310428845606867,0.05642873068889462,0.05642873068889462,0.011752093191196635,0.011752093191196635,0.33659938036466547,0.0020637729429510455,0.0020637729429510455,0.08674223609748634,0.08674223609748634
0.75,0.22695756631416047,0.05778207418506417,0.06659937443437787,0.012835713791930208,0.01640018735287026,0.39410093437316546,0.0025791644901531183,0.003615624748869284,0.1334695195490349,0.00048279984446087325,0.13997216806367688,0.24963284180311748,0.06683135038930701,0.07404004210644059,0.015256823600544063,0.018706383778474413,0.4035638184599396,0.0030660672203912916,0.0042247177067783704,0.13767927023553195,0.14391324915467693,0.000563723922538593,0.03622519816138877,0.0008362984387039926,0.4082775815688676,0.03556747060386788,9.706852559501261e-5,0.23814461008616938,0.06447931030847508,0.06447931030847508,0.014379187644461206,0.014379187644461206,0.35579497834802426,0.00270432113531306,0.00270432113531306,0.09850523033837158,0.09850523033837158
0.8,0.24060963615308426,0.06540301710424731,0.07522189565016645,0.015498052907503694,0.019748077034917474,0.41316090690441776,0.0033211760249578005,0.004641289480292435,0.14988076616307883,0.0006629841920878336,0.15681787373476563,0.2644726070570702,0.0756077889841314,0.08358636242725753,0.018413173517817773,0.02251652228785473,0.4224635515597585,0.0039466724113664834,0.005421357299864642,0.15451400214896122,0.16109914073049528,0.0007738800572588486,0.04345200466821113,0.0011441800865710518,0.42114081668257797,0.04254891538650675,0.00014211238065478995,0.2530013419975326,0.07300177772981627,0.07300177772981627,0.017353856281969556,0.017353856281969556,0.3740342814238758,0.0034797768275105726,0.0034797768275105726,0.11078564078798392,0.11078564078798392
0.8500000000000001,0.2540295458958533,0.07343477157257905,0.08427350208493337,0.018489221541537502,0.02349373864677811,0.43099650686957064,0.00420895490813,0.005863069866647162,0.16686677179397075,0.0008924731537756135,0.17416983612785653,0.2790257122425245,0.08484591656199739,0.09359799628713318,0.02195603071676374,0.02677657075842929,0.44000340776814817,0.004999488895937929,0.006846057184247969,0.17190913677811287,0.17876550721139522,0.0010413887270480432,0.05147378837837751,0.001534380004956966,0.43163093622294746,0.050266577080216875,0.00020314493114865736,0.2676627567349542,0.08198013139792072,0.08198013139792072,0.02069209291436769,0.02069209291436769,0.39126837088958744,0.0044063654475204285,0.0044063654475204285,0.12352920808236391,0.12352920808236391
0.9,0.26721610722467726,0.08186518303698473,0.0937366567909312,0.021823820228671312,0.0276517790738038,0.44757545401376087,0.005259028070175602,0.00730177806004769,0.18435072180791537,0.0011803638469384064,0.19194143743362255,0.2932897819293964,0.09452940811658954,0.10405419266962547,0.025901487668757144,0.031502379554916166,0.4561479738590898,0.0062437142125997035,0.008522780849033846,0.18978039962115228,0.196818964399971,0.0013767503465125632,0.060300728037749836,0.002021421706419728,0.43970937422945094,0.05872398646746035,0.00028429250159142303,0.2821172148864984,0.09139752402909518,0.09139752402909518,0.024408603728783364,0.024408603728783364,0.40745094608415944,0.00550077149072121,0.00550077149072121,0.13667951299442513,0.13667951299442513
0.9500000000000001,0.2801693228813741,0.09068197319080838,0.10359408258472413,0.025515545745896987,0.03223552804294122,0.46287028633586874,0.006488410575971227,0.00897860022939542,0.20225438637055462,0.0015366683617248369,0.21004581005418232,0.3072638844992461,0.10464164461652074,0.11493451808436388,0.0302643530947229,0.036708271464418754,0.47086749194700134,0.007699005948172726,0.010475863458276112,0.2080418764336963,0.21516601132085914,0.0017914875343368398,0.06993697576748413,0.002621126963488314,0.44535154533283683,0.06791910179654705,0.0003903781281808314,0.2963531738621449,0.10123628961841133,0.10123628961841133,0.028516753473808783,0.028516753473808783,0.42253843332221286,0.0067800405372875575,0.0067800405372875575,0.15017818931363625,0.15017818931363625
