# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=82, N=126, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

r(fm),Rp1,Rp2,Rp3,Rp4,Rp5,Rp6,Rp7,Rp8,Rp9,Rp10,Rp11,Rp12,Rp13,Rp14,Rp15,Rp16,Rp17,Rp18,Rp19,Rn1,Rn2,Rn3,Rn4,Rn5,Rn6,Rn7,Rn8,Rn9,Rn10,Rn11,Rn12,Rn13,Rn14,Rn15,Rn16,Rn17,Rn18,Rn19,Rn20,Rn21,Rn22,Rn23,Rn24,Rn25,Rn26,Rn27,Rl1,Rl2,Rl3,Rl4,Rl5,Rl6,Rl7,Rl8,Rl9,Rl10,Rl11,Rl12,Rl13,Rl14,Rl15,Rl16,Rl17
0.5,0.08508298706379087,0.012913166083504365,0.013378285378584716,0.0016430863466733087,0.0018291912465298948,0.18894569920077675,0.0001880715352456364,0.00022942065752196307,0.037076641490265475,1.9920251621401784e-5,0.03742918901766471,2.687376065767482e-5,0.005541982593796157,1.9887994008450092e-6,0.005738440575834995,0.2466778743599537,2.9554821500088525e-6,1.897282313490496e-7,0.0007169809384446588,0.10122271039767532,0.014804251123041708,0.01578212761923999,0.0019003473488024838,0.0021579173835687706,0.20976765569520997,0.00022058627200974182,0.0002734545047644042,0.04020286651678798,0.04253496114523417,2.3681087507399726e-5,3.253575141802949e-5,0.006086712360791883,2.386556720068396e-6,0.006584658079056557,0.26689585059813387,3.6443736486938897e-6,0.0007819663888257205,2.2826132442715222e-7,0.000855624271178682,0.06208032952370213,0.06348218963338134,8.788189124478862e-5,3.811949586451238e-7,-2.087341483582993e-8,0.009060494257882324,0.13677816378609095,0.11378566811997656,0.01650736289812976,0.01650736289812976,0.002058277993753542,0.002058277993753542,0.20014345429554597,0.0002313995556511667,0.0002313995556511667,0.03848745649065934,0.03848745649065934,2.3736740338109463e-5,2.3736740338109463e-5,0.005270683582470978,0.005270683582470978,0.21687235248428444,2.1909493841987153e-6,2.1909493841987153e-6
0.55,0.09363052558542477,0.01561070337701675,0.01617867559306628,0.002183324958309565,0.00243148838109099,0.20693880857224498,0.0002747566829831961,0.00033526920911233017,0.04465947080959878,3.19992103212301e-5,0.04509453179554868,4.317981143351385e-5,0.007341883156276775,3.5130752945900735e-6,0.007604080895560005,0.2683635873095373,5.221588593742271e-6,3.685578212144412e-7,0.0010446827847387964,0.11109880877481103,0.017883047978823844,0.019042796635871873,0.002525177380365774,0.0028634934459668424,0.22911339190385654,0.0003223936662439081,0.00039904093743563566,0.048385415295469365,0.05112650808160058,3.8066490066264795e-5,5.2210804162715554e-5,0.008063429176758946,4.219330972960761e-6,0.008709763381056937,0.2895013049445752,6.431246901187239e-6,0.0011398750063971379,4.438537400568226e-7,0.0012451931797108694,0.07439295316425733,0.07597483663678942,0.0001409421834160632,7.397860400697595e-7,-4.464262425911642e-8,0.01196619568569735,0.14737837845962842,0.12493192019333917,0.019931113255910786,0.019931113255910786,0.0027329682843577406,0.0027329682843577406,0.21875084790600766,0.0003378938104962883,0.0003378938104962883,0.04631541151657432,0.04631541151657432,3.811880128981756e-5,3.811880128981756e-5,0.006979847287208412,0.006979847287208412,0.23563882846832418,3.8696235563023565e-6,3.8696235563023565e-6
0.6000000000000001,0.10218691108372635,0.018559356538149687,0.01924194444335928,0.002829407360344012,0.003152222709564977,0.2246730399520651,0.0003882122565252952,0.00047387190257537935,0.05288420983277753,4.9301537825982305e-5,0.053412712996242014,6.654527853666862e-5,0.009482933705782834,5.902605745590063e-6,0.009824284593273901,0.2892179943503141,8.774880499290418e-6,6.753394459311203e-7,0.0014717943260173616,0.1209125816897471,0.021243651710999328,0.022594328996859668,0.0032724363861344704,0.003705475924522763,0.2480164298190479,0.0004557230257203622,0.0005631422290087204,0.057246281418271684,0.06040665024898217,5.86917124476101e-5,8.035454468291938e-5,0.010414729095600067,7.095690640281256e-6,0.011231281148614474,0.31099881665453644,1.079445247290721e-5,0.0016066522222627428,8.14164350441234e-7,0.001752036432648191,0.08759814067629695,0.08933761955724068,0.0002167595298127377,1.3541922873358134e-6,-8.932076412250116e-8,0.015403488710877785,0.15715335655378165,0.13601281500031176,0.023664129148178715,0.023664129148178715,0.003538791030163535,0.003538791030163535,0.23696432932564626,0.0004771705488791356,0.0004771705488791356,0.054789289978090315,0.054789289978090315,5.871110593027118e-5,5.871110593027118e-5,0.00901162114916422,0.00901162114916422,0.253599020439812,6.500641612345123e-6,6.500641612345123e-6
0.65,0.11075185621724933,0.02175746342750121,0.022566909936155934,0.0035902484353707333,0.0040015231904393465,0.24212420346906643,0.0005333312985659137,0.0006512454082151357,0.06172931206809826,7.334112595098703e-5,0.062362846113815984,9.902075814663553e-5,0.011989564113439228,9.508833591722932e-6,0.012424770293494631,0.30917464646239834,1.4138730776500108e-5,1.1782232069504024e-6,0.0020156100540587034,0.13066157883635846,0.02488323076692434,0.0264322064106451,0.004152445638196579,0.004694795792967934,0.2664460783047094,0.0006263704217688215,0.0007726851780333453,0.0667592666273026,0.07034317610355789,8.737548366594837e-5,0.00011939986771417337,0.013167384481786145,1.1441641300433179e-5,0.014175534388689378,0.33131265971720486,1.737039034075341e-5,0.002201358230785044,1.4219698243237046e-6,0.002396166802627447,0.10162400948821747,0.10349094082150757,0.0003218078167402893,2.3600352319754493e-6,-1.6897523016168112e-7,0.01940311732750575,0.1660512975339539,0.14702284359452783,0.02770194446662188,0.02770194446662188,0.004486404474415726,0.004486404474415726,0.2547516455171218,0.0006551696933994635,0.0006551696933994635,0.06388285247868691,0.06388285247868691,8.730777539381282e-5,8.730777539381282e-5,0.01138861180875453,0.01138861180875453,0.27069211646100333,1.0470357323159957e-5,1.0470357323159957e-5
0.7000000000000001,0.1193247849381252,0.02520317800940946,0.02615222197059663,0.004474579879760756,0.004989345664828226,0.2592679226320712,0.0007153658707716521,0.0008738570794778892,0.07117148817794375,0.00010588794189138957,0.07192228049200837,0.0001430054893127509,0.014884558253120989,1.4778598726770231e-5,0.015429602962745025,0.32816933468293297,2.1978834517629644e-5,1.9713656297469166e-6,0.0026943798160421377,0.1403439530013041,0.02879880073972813,0.03055182397153089,0.005175318345414336,0.005842072371912464,0.2843735668087589,0.0008405662518912564,0.0010350753017758392,0.07689639412258126,0.08090224449506894,0.00012624786070271357,0.0001721829825332877,0.01634633581823691,1.7799827939098658e-5,0.017566620807414782,0.3503726404055806,2.6966248057764327e-5,0.002944134849686478,2.381853671326558e-6,0.0031985905783920416,0.1163942258547042,0.11835120889078744,0.00046359458372089406,3.944285487494318e-6,-3.047557989284725e-7,0.023991518898474413,0.17402570268014228,0.1579565930830727,0.03203975143402114,0.03203975143402114,0.005586150204504652,0.005586150204504652,0.2720814082799685,0.0008782482177535935,0.0008782482177535935,0.07356796076405576,0.07356796076405576,0.00012600355145344974,0.00012600355145344974,0.014131763560520653,0.014131763560520653,0.28686036704949935,1.626968971783688e-5,1.626968971783688e-5
0.75,0.12790481094503764,0.028894459333216785,0.029996344147606775,0.005490934868806392,0.0061254547886979436,0.2760796243205543,0.0009399111737667823,0.001148606639940754,0.08118573115130034,0.0001489833765856652,0.08206660637685154,0.00020126863761487374,0.018188942937790237,2.226889720228661e-5,0.01886107124481559,0.3461402421066454,3.3125289158056385e-5,3.1815178395192405e-6,0.0035271818093454083,0.14995842783130278,0.03298723317229368,0.03494853465264913,0.0063509419570093,0.00715760987435573,0.3017720094312909,0.00110495681139448,0.0013581723629218355,0.08762799203751934,0.09204857735719613,0.00017776953921018793,0.0002419657077674701,0.019974562673694247,2.6847863815020024e-5,0.021426330392562434,0.36811421902714403,4.058573374500204e-5,0.0038560643069226624,3.848350147197531e-6,0.0041811500975421035,0.13182837577276862,0.13383138354262378,0.0006506990219394157,6.3580780213301615e-6,-5.274533550854588e-7,0.029190574339219788,0.18103555044184222,0.16880874877953372,0.03667240965585926,0.03667240965585926,0.0068480314118012555,0.0068480314118012555,0.2889231438932132,0.001153156639165298,0.001153156639165298,0.08381466275913338,0.08381466275913338,0.00017721074654416413,0.00017721074654416413,0.017260255026214488,0.017260255026214488,0.3020492674632419,2.451013809444492e-5,2.451013809444492e-5
0.8,0.13649071851358488,0.03282905977906316,0.03409753411742656,0.006647632507803762,0.007419404809499828,0.29253453511079186,0.0012128886021191727,0.0014828062060275806,0.09174534282356787,0.00020495427148606716,0.0927696598615611,0.00027696873264983603,0.02192188172600842,3.266227520183844e-5,0.02273956704938831,0.36302809730108804,4.8595610885141156e-5,4.975530015297675e-6,0.004533788887474266,0.1595042533938525,0.03744526071544004,0.03961768734700644,0.007688959722129982,0.008651395898918758,0.3186163421335821,0.0014265839761826312,0.0017502656236395853,0.09892277167361449,0.10374563726970512,0.0002447494117196489,0.0003324556465568269,0.024072958557482663,3.94174560988977e-5,0.02577407581924524,0.38447858443948507,5.945576556910345e-5,0.004959017926328432,6.025235408987749e-6,0.005366362261027475,0.1478423422983613,0.1498415078999577,0.0008927985216022283,9.931244653214343e-6,-8.80666585948825e-7,0.03501738127115334,0.18704543053858042,0.179574095475277,0.04159445511254105,0.04159445511254105,0.008281691944549245,0.008281691944549245,0.305247339173702,0.0014870140865701487,0.0014870140865701487,0.09459128108494556,0.09459128108494556,0.00024367439194470644,0.00024367439194470644,0.020791402956290974,0.020791402956290974,0.31620772640158906,3.5940418195255285e-5,3.5940418195255285e-5
0.8500000000000001,0.1450809462630869,0.03700451281755351,0.03845382273820721,0.007952762054084284,0.008880519099324713,0.30860768539129096,0.0015405277542728385,0.0018841585646931982,0.1028219624039706,0.00027642555489544503,0.10400352857801275,0.00037367110799568326,0.02610057378739966,4.678274706372875e-5,0.027083467475324932,0.37877633104999936,6.961850096988778e-5,7.568791370549399e-6,0.005734528771505749,0.16898115078223794,0.04216947828112254,0.044554657382443186,0.00919875132182461,0.010333101087007709,0.3348832367040114,0.0018128629121584804,0.002220048840487694,0.11074789973528494,0.11595578697116632,0.00033036019245576354,0.00044782420053990525,0.02866020968620963,5.651415694151761e-5,0.030626833544749155,0.39941268703398114,8.505391894709683e-5,0.0062754950922111275,9.175983970732509e-6,0.0067772537125451735,0.164348687352718,0.16628922169534907,0.0012006830047076391,1.508858434210967e-5,-1.4246503368657337e-6,0.04148405127308146,0.19202563975131048,0.19024751789486838,0.046800108993512134,0.046800108993512134,0.009896396125548455,0.009896396125548455,0.3210254841566852,0.0018872820124543241,0.0018872820124543241,0.10586450461340313,0.10586450461340313,0.0003284854898823902,0.0003284854898823902,0.024740573330878972,0.024740573330878972,0.32928822116500445,5.1463581667434045e-5,5.1463581667434045e-5
0.9,0.1536735743921211,0.04141812058139075,0.04306299238691071,0.009414166918837594,0.010517868393860689,0.32427392259875343,0.0019293474180683808,0.002360733622355115,0.11438559783194241,0.00036633142283720987,0.11573855920871322,0.0004953631867127782,0.030740158083327914,6.561212237831451e-5,0.031909019274710855,0.3933312380704942,9.765816184138009e-5,1.1234615376744295e-5,0.007150138777846486,0.17838924720848723,0.04715633996708127,0.04975486866581076,0.010889412411489543,0.012212079111025901,0.35055099552383906,0.0022715577333280008,0.002776594931316448,0.12306906422212706,0.1286404286901277,0.00043815192642334034,0.0005927223678449463,0.03375267777779551,7.933755325917853e-5,0.035999093340052496,0.4128692364457298,0.00011913642563446492,0.007828452962155041,1.3635391667782909e-5,0.008437193139892633,0.18125703673449065,0.18308025165345193,0.0015862563454400785,2.2367872080966673e-5,-2.2409172457538286e-6,0.048597532421869274,0.1959522426822953,0.20082400040769813,0.052283286291669444,0.052283286291669444,0.011701009300070016,0.011701009300070016,0.3362301116350511,0.0023617366125077335,0.0023617366125077335,0.11759948267621294,0.11759948267621294,0.00043509228115086565,0.00043509228115086565,0.029121099898419718,0.029121099898419718,0.3412469393980558,7.21544748983629e-5,7.21544748983629e-5
0.9500000000000001,0.16226631586921245,0.04606694158622312,0.047922554824208284,0.011039428484244962,0.01234024773040338,0.3395079347268346,0.002386135555302705,0.002920942943621901,0.12640466090853358,0.00047792500334958697,0.12794336807818243,0.0006464674504171186,0.03585362319841614,9.030662347876547e-5,0.03723022621180617,0.4066421449765424,0.0001344389486185052,1.631457019597822e-5,0.008801615696281682,0.18772900317303298,0.05240215167057827,0.05521380685390241,0.012769732944376378,0.01429736614143624,0.36559943145856505,0.0028107550427044032,0.0034293301651465023,0.135850534053199,0.14176012197769228,0.0005720632021902204,0.0007722942494418541,0.03936428710813913,0.00010930169422640262,0.04190281399418624,0.424806670534229,0.00016376650927271588,0.009641127503779235,1.9822348441269454e-5,0.010369720941566444,0.19847446765484963,0.2001188762888459,0.0020625242634320293,3.243958637029626e-5,-3.4376605710765463e-6,0.05635945840225094,0.1988071009165119,0.21129862607126387,0.05803760409291301,0.05803760409291301,0.01370397907544719,0.01370397907544719,0.3508348338125479,0.002918440013434201,0.002918440013434201,0.1297599216009308,0.1297599216009308,0.0005673094453256619,0.0005673094453256619,0.033944210265133994,0.033944210265133994,0.3520439075989076,9.927738778594759e-5,9.927738778594759e-5
