# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=8, N=8, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

r(fm),Rp1,Rp2,Rp3,Rp4,Rn1,Rn2,Rn3,Rn4,Rn5,Rl1,Rl2,Rl3
2.8000000000000003,0.5122885872170067,0.6855953460224471,0.6623975849705287,0.7213543831596744,0.5074950955323942,0.6846028976665216,0.663111555066211,0.7287707890302187,-0.4437970510920384,0.5122163021140753,0.6277019299951292,0.6277019299951292
2.85,0.4958760027430037,0.6738716420842988,0.654067291315316,0.71942224218009,0.4908856102465542,0.6723550345204559,0.6542127398721622,0.7260940084359202,-0.4641000624536287,0.4973775344513547,0.622684823052915,0.622684823052915
2.9000000000000004,0.47912290316865275,0.6608905248905107,0.6446757431324096,0.7157017019113967,0.4739528501107768,0.6588560106288508,0.6442478924434696,0.7215946132425144,-0.48250130748142883,0.4823798846397202,0.6168943154271203,0.6168943154271203
2.95,0.4621071344959939,0.6467601610920124,0.6342870555446957,0.7102698244933106,0.45677467797481025,0.6442164894709793,0.6332832928033585,0.7153546652461896,-0.4989800601478531,0.4672792442149576,0.6103811205617949,0.6103811205617949
3.0,0.4449085157296331,0.6315977750960645,0.6229736855825537,0.7032207140567756,0.4394308461669847,0.628556077905288,0.6213936313312156,0.7074734373542385,-0.5135350408169712,0.45213010542879695,0.6031987206774152,0.6031987206774152
3.0500000000000003,0.42760763678891933,0.6155276381001553,0.6108154788986808,0.6946634347011653,0.42200179588422454,0.6120012882127384,0.608661028823465,0.6980652487672433,-0.5261840381817461,0.43698517761217975,0.5954028501105708,0.5954028501105708
3.1,0.41028457872943785,0.5986788423769469,0.5978984502455651,0.6847195299467679,0.40456737949030175,0.5946832871590398,0.5951737863867111,0.6872569000663595,-0.5369630473670263,0.42189499323626883,0.5870509128016321,0.5870509128016321
3.1500000000000004,0.3930176104246164,0.5811829467641175,0.5843133405389689,0.6735202412636492,0.3872055601501242,0.5767355191711041,0.5810249095476535,0.675184808974622,-0.5459249434547641,0.4069075159681272,0.5782013449809471,0.5782013449809471
3.2,0.3758819207223801,0.5631715913985498,0.5701540120704421,0.6612035440543846,0.369991147984128,0.5582913026707861,0.5663104698580081,0.6619919683232571,-0.5531377398218854,0.3920677658814654,0.5689129404635914,0.5689129404635914
3.25,0.3589484446866492,0.5447741837253506,0.5555157569544096,0.6479111309875717,0.35299463139761217,0.5394815023645182,0.5511278807897873,0.6478248589959197,-0.5586825077882538,0.37741747834546935,0.559244161053589,0.559244161053589
3.3000000000000003,0.3422828366239142,0.526115752816931,0.540493600238557,0.6337854731188445,0.33628115621087434,0.5204323749909087,0.5355741709030596,0.6328304506515614,-0.5626510547320339,0.36299481266330025,0.5492524575607218,0.5492524575607218
3.35,0.32594463186773115,0.5073150555958514,0.5251806775190209,0.6189670787449852,0.31990969439103834,0.5012636722592064,0.5197443354024684,0.6171534118509571,-0.5651434696013534,0.34883412428121235,0.5389936273933135,0.5389936273933135
3.4000000000000004,0.3099866251902156,0.4884829984995384,0.5096667579337381,0.6035920500100637,0.30393243001752257,0.48208706434118476,0.5037298378722718,0.6009336305111043,-0.5662656466132947,0.33496581066381453,0.5285212325957896,0.5285212325957896
